311617 [http-nio-8080-exec-19] INFO  p.i.springboot.service.OrderService - 库存:1517
311618 [http-nio-8080-exec-89] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-14] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-66] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-65] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-45] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-16] INFO  p.i.springboot.service.OrderService - 库存:1517
311620 [http-nio-8080-exec-70] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-9] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-86] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-60] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-36] INFO  p.i.springboot.service.OrderService - 库存:1517
311619 [http-nio-8080-exec-63] INFO  p.i.springboot.service.OrderService - 库存:1517
311621 [http-nio-8080-exec-23] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-53] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-7] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-73] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-50] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-46] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-74] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-54] INFO  p.i.springboot.service.OrderService - 库存:1517
311637 [http-nio-8080-exec-1] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-69] INFO  p.i.springboot.service.OrderService - 库存:1517
311636 [http-nio-8080-exec-57] INFO  p.i.springboot.service.OrderService - 库存:1517
311638 [http-nio-8080-exec-43] INFO  p.i.springboot.service.OrderService - 库存:1517
311639 [http-nio-8080-exec-59] INFO  p.i.springboot.service.OrderService - 库存:1517
311639 [http-nio-8080-exec-61] INFO  p.i.springboot.service.OrderService - 库存:1517
311640 [http-nio-8080-exec-82] INFO  p.i.springboot.service.OrderService - 库存:1517
311640 [http-nio-8080-exec-62] INFO  p.i.springboot.service.OrderService - 库存:1517
311640 [http-nio-8080-exec-87] INFO  p.i.springboot.service.OrderService - 库存:1517
311641 [http-nio-8080-exec-17] INFO  p.i.springboot.service.OrderService - 库存:1517
311641 [http-nio-8080-exec-49] INFO  p.i.springboot.service.OrderService - 库存:1517
311645 [http-nio-8080-exec-79] INFO  p.i.springboot.service.OrderService - 库存:1517
311645 [http-nio-8080-exec-25] INFO  p.i.springboot.service.OrderService - 库存:1517
311646 [http-nio-8080-exec-29] INFO  p.i.springboot.service.OrderService - 库存:1517
311646 [http-nio-8080-exec-96] INFO  p.i.springboot.service.OrderService - 库存:1517
311653 [http-nio-8080-exec-18] INFO  p.i.springboot.service.OrderService - 库存:1517
311653 [http-nio-8080-exec-24] INFO  p.i.springboot.service.OrderService - 库存:1517
311654 [http-nio-8080-exec-27] INFO  p.i.springboot.service.OrderService - 库存:1517
311654 [http-nio-8080-exec-55] INFO  p.i.springboot.service.OrderService - 库存:1517
311655 [http-nio-8080-exec-99] INFO  p.i.springboot.service.OrderService - 库存:1517
311655 [http-nio-8080-exec-91] INFO  p.i.springboot.service.OrderService - 库存:1517
311656 [http-nio-8080-exec-100] INFO  p.i.springboot.service.OrderService - 库存:1517
311656 [http-nio-8080-exec-56] INFO  p.i.springboot.service.OrderService - 库存:1517
311657 [http-nio-8080-exec-30] INFO  p.i.springboot.service.OrderService - 库存:1517
311657 [http-nio-8080-exec-80] INFO  p.i.springboot.service.OrderService - 库存:1517
311658 [http-nio-8080-exec-92] INFO  p.i.springboot.service.OrderService - 库存:1517
311659 [http-nio-8080-exec-84] INFO  p.i.springboot.service.OrderService - 库存:1517
311660 [http-nio-8080-exec-83] INFO  p.i.springboot.service.OrderService - 库存:1517
311660 [http-nio-8080-exec-51] INFO  p.i.springboot.service.OrderService - 库存:1517
311661 [http-nio-8080-exec-71] INFO  p.i.springboot.service.OrderService - 库存:1517
311661 [http-nio-8080-exec-95] INFO  p.i.springboot.service.OrderService - 库存:1517
311662 [http-nio-8080-exec-68] INFO  p.i.springboot.service.OrderService - 库存:1517
311662 [http-nio-8080-exec-75] INFO  p.i.springboot.service.OrderService - 库存:1517
311663 [http-nio-8080-exec-67] INFO  p.i.springboot.service.OrderService - 库存:1517
311663 [http-nio-8080-exec-76] INFO  p.i.springboot.service.OrderService - 库存:1517
311664 [http-nio-8080-exec-13] INFO  p.i.springboot.service.OrderService - 库存:1517
311665 [http-nio-8080-exec-72] INFO  p.i.springboot.service.OrderService - 库存:1517
311666 [http-nio-8080-exec-64] INFO  p.i.springboot.service.OrderService - 库存:1517
311666 [http-nio-8080-exec-42] INFO  p.i.springboot.service.OrderService - 库存:1517
311667 [http-nio-8080-exec-3] INFO  p.i.springboot.service.OrderService - 库存:1517
311668 [http-nio-8080-exec-33] INFO  p.i.springboot.service.OrderService - 库存:1517
311669 [http-nio-8080-exec-41] INFO  p.i.springboot.service.OrderService - 库存:1517
311671 [http-nio-8080-exec-52] INFO  p.i.springboot.service.OrderService - 库存:1517
311671 [http-nio-8080-exec-98] INFO  p.i.springboot.service.OrderService - 库存:1517
311672 [http-nio-8080-exec-44] INFO  p.i.springboot.service.OrderService - 库存:1517
311672 [http-nio-8080-exec-12] INFO  p.i.springboot.service.OrderService - 库存:1517
311673 [http-nio-8080-exec-21] INFO  p.i.springboot.service.OrderService - 库存:1517
311673 [http-nio-8080-exec-48] INFO  p.i.springboot.service.OrderService - 库存:1517
311674 [http-nio-8080-exec-4] INFO  p.i.springboot.service.OrderService - 库存:1517
311674 [http-nio-8080-exec-11] INFO  p.i.springboot.service.OrderService - 库存:1517
311676 [http-nio-8080-exec-39] INFO  p.i.springboot.service.OrderService - 库存:1517
311676 [http-nio-8080-exec-88] INFO  p.i.springboot.service.OrderService - 库存:1516
311677 [http-nio-8080-exec-47] INFO  p.i.springboot.service.OrderService - 库存:1516
311678 [http-nio-8080-exec-8] INFO  p.i.springboot.service.OrderService - 库存:1516
311678 [http-nio-8080-exec-73] INFO  p.i.springboot.service.OrderService - 库存:1516
311679 [http-nio-8080-exec-82] INFO  p.i.springboot.service.OrderService - 库存:1516
311679 [http-nio-8080-exec-28] INFO  p.i.springboot.service.OrderService - 库存:1516
311679 [http-nio-8080-exec-54] INFO  p.i.springboot.service.OrderService - 库存:1516
311679 [http-nio-8080-exec-50] INFO  p.i.springboot.service.OrderService - 库存:1516
311679 [http-nio-8080-exec-90] INFO  p.i.springboot.service.OrderService - 库存:1516
311680 [http-nio-8080-exec-40] INFO  p.i.springboot.service.OrderService - 库存:1515
311680 [http-nio-8080-exec-10] INFO  p.i.springboot.service.OrderService - 库存:1515
311680 [http-nio-8080-exec-31] INFO  p.i.springboot.service.OrderService - 库存:1515
311681 [http-nio-8080-exec-37] INFO  p.i.springboot.service.OrderService - 库存:1515
311681 [http-nio-8080-exec-35] INFO  p.i.springboot.service.OrderService - 库存:1515
311681 [http-nio-8080-exec-32] INFO  p.i.springboot.service.OrderService - 库存:1515
311682 [http-nio-8080-exec-60] INFO  p.i.springboot.service.OrderService - 库存:1514
311683 [http-nio-8080-exec-65] INFO  p.i.springboot.service.OrderService - 库存:1514
311683 [http-nio-8080-exec-63] INFO  p.i.springboot.service.OrderService - 库存:1514
311684 [http-nio-8080-exec-36] INFO  p.i.springboot.service.OrderService - 库存:1514
311685 [http-nio-8080-exec-6] INFO  p.i.springboot.service.OrderService - 库存:1514
311685 [http-nio-8080-exec-58] INFO  p.i.springboot.service.OrderService - 库存:1514
311685 [http-nio-8080-exec-20] INFO  p.i.springboot.service.OrderService - 库存:1514
311686 [http-nio-8080-exec-45] INFO  p.i.springboot.service.OrderService - 库存:1513
311686 [http-nio-8080-exec-37] INFO  p.i.springboot.service.OrderService - 库存:1513
311686 [http-nio-8080-exec-26] INFO  p.i.springboot.service.OrderService - 库存:1513
311688 [http-nio-8080-exec-65] INFO  p.i.springboot.service.OrderService - 库存:1513
311689 [http-nio-8080-exec-43] INFO  p.i.springboot.service.OrderService - 库存:1513
311689 [http-nio-8080-exec-35] INFO  p.i.springboot.service.OrderService - 库存:1513
311689 [http-nio-8080-exec-20] INFO  p.i.springboot.service.OrderService - 库存:1513
311690 [http-nio-8080-exec-61] INFO  p.i.springboot.service.OrderService - 库存:1513
311691 [http-nio-8080-exec-87] INFO  p.i.springboot.service.OrderService - 库存:1513
311692 [http-nio-8080-exec-59] INFO  p.i.springboot.service.OrderService - 库存:1513
311692 [http-nio-8080-exec-62] INFO  p.i.springboot.service.OrderService - 库存:1513
311693 [http-nio-8080-exec-25] INFO  p.i.springboot.service.OrderService - 库存:1512
311694 [http-nio-8080-exec-27] INFO  p.i.springboot.service.OrderService - 库存:1512
311694 [http-nio-8080-exec-18] INFO  p.i.springboot.service.OrderService - 库存:1512
311695 [http-nio-8080-exec-80] INFO  p.i.springboot.service.OrderService - 库存:1512
311697 [http-nio-8080-exec-76] INFO  p.i.springboot.service.OrderService - 库存:1512
311697 [http-nio-8080-exec-95] INFO  p.i.springboot.service.OrderService - 库存:1512
311698 [http-nio-8080-exec-68] INFO  p.i.springboot.service.OrderService - 库存:1511
311700 [http-nio-8080-exec-52] INFO  p.i.springboot.service.OrderService - 库存:1511
311701 [http-nio-8080-exec-12] INFO  p.i.springboot.service.OrderService - 库存:1511
311703 [http-nio-8080-exec-21] INFO  p.i.springboot.service.OrderService - 库存:1511
311703 [http-nio-8080-exec-2] INFO  p.i.springboot.service.OrderService - 库存:1511
311703 [http-nio-8080-exec-44] INFO  p.i.springboot.service.OrderService - 库存:1511
311704 [http-nio-8080-exec-48] INFO  p.i.springboot.service.OrderService - 库存:1511
311703 [http-nio-8080-exec-81] INFO  p.i.springboot.service.OrderService - 库存:1511
311701 [http-nio-8080-exec-38] INFO  p.i.springboot.service.OrderService - 库存:1511
311703 [http-nio-8080-exec-98] INFO  p.i.springboot.service.OrderService - 库存:1511
311705 [http-nio-8080-exec-97] INFO  p.i.springboot.service.OrderService - 库存:1511
311708 [http-nio-8080-exec-74] INFO  p.i.springboot.service.OrderService - 库存:1511
311708 [http-nio-8080-exec-4] INFO  p.i.springboot.service.OrderService - 库存:1511
311709 [http-nio-8080-exec-8] INFO  p.i.springboot.service.OrderService - 库存:1511
311709 [http-nio-8080-exec-90] INFO  p.i.springboot.service.OrderService - 库存:1511
311709 [http-nio-8080-exec-28] INFO  p.i.springboot.service.OrderService - 库存:1511
311714 [http-nio-8080-exec-89] INFO  p.i.springboot.service.OrderService - 库存:1510
311714 [http-nio-8080-exec-5] INFO  p.i.springboot.service.OrderService - 库存:1510
311712 [http-nio-8080-exec-54] INFO  p.i.springboot.service.OrderService - 库存:1510
311709 [http-nio-8080-exec-50] INFO  p.i.springboot.service.OrderService - 库存:1511
311712 [http-nio-8080-exec-32] INFO  p.i.springboot.service.OrderService - 库存:1510
311712 [http-nio-8080-exec-19] INFO  p.i.springboot.service.OrderService - 库存:1510
311719 [http-nio-8080-exec-8] INFO  p.i.springboot.service.OrderService - 库存:1510
311714 [http-nio-8080-exec-77] INFO  p.i.springboot.service.OrderService - 库存:1510
311714 [http-nio-8080-exec-82] INFO  p.i.springboot.service.OrderService - 库存:1510
311719 [http-nio-8080-exec-36] INFO  p.i.springboot.service.OrderService - 库存:1510
311721 [http-nio-8080-exec-74] INFO  p.i.springboot.service.OrderService - 库存:1510
311723 [http-nio-8080-exec-89] INFO  p.i.springboot.service.OrderService - 库存:1509
311723 [http-nio-8080-exec-26] INFO  p.i.springboot.service.OrderService - 库存:1509
311723 [http-nio-8080-exec-50] INFO  p.i.springboot.service.OrderService - 库存:1509
311724 [http-nio-8080-exec-79] INFO  p.i.springboot.service.OrderService - 库存:1509
311724 [http-nio-8080-exec-45] INFO  p.i.springboot.service.OrderService - 库存:1509
311724 [http-nio-8080-exec-74] INFO  p.i.springboot.service.OrderService - 库存:1509
311725 [http-nio-8080-exec-22] INFO  p.i.springboot.service.OrderService - 库存:1510
311740 [http-nio-8080-exec-96] INFO  p.i.springboot.service.OrderService - 库存:1509
311741 [http-nio-8080-exec-51] INFO  p.i.springboot.service.OrderService - 库存:1508
311740 [http-nio-8080-exec-79] INFO  p.i.springboot.service.OrderService - 库存:1508
311744 [http-nio-8080-exec-45] INFO  p.i.springboot.service.OrderService - 库存:1508
311745 [http-nio-8080-exec-26] INFO  p.i.springboot.service.OrderService - 库存:1508
311745 [http-nio-8080-exec-92] INFO  p.i.springboot.service.OrderService - 库存:1508
311747 [http-nio-8080-exec-54] INFO  p.i.springboot.service.OrderService - 库存:1507
311747 [http-nio-8080-exec-96] INFO  p.i.springboot.service.OrderService - 库存:1507
311747 [http-nio-8080-exec-71] INFO  p.i.springboot.service.OrderService - 库存:1508
311747 [http-nio-8080-exec-72] INFO  p.i.springboot.service.OrderService - 库存:1508
311749 [http-nio-8080-exec-37] INFO  p.i.springboot.service.OrderService - 库存:1507
311749 [http-nio-8080-exec-76] INFO  p.i.springboot.service.OrderService - 库存:1507
311751 [http-nio-8080-exec-45] INFO  p.i.springboot.service.OrderService - 库存:1507
311751 [http-nio-8080-exec-79] INFO  p.i.springboot.service.OrderService - 库存:1507
311752 [http-nio-8080-exec-89] INFO  p.i.springboot.service.OrderService - 库存:1507
311752 [http-nio-8080-exec-34] INFO  p.i.springboot.service.OrderService - 库存:1507
311752 [http-nio-8080-exec-72] INFO  p.i.springboot.service.OrderService - 库存:1506
311756 [http-nio-8080-exec-96] INFO  p.i.springboot.service.OrderService - 库存:1506
311759 [http-nio-8080-exec-37] INFO  p.i.springboot.service.OrderService - 库存:1506
311759 [http-nio-8080-exec-44] INFO  p.i.springboot.service.OrderService - 库存:1506
311759 [http-nio-8080-exec-71] INFO  p.i.springboot.service.OrderService - 库存:1506
311762 [http-nio-8080-exec-79] INFO  p.i.springboot.service.OrderService - 库存:1506
311762 [http-nio-8080-exec-45] INFO  p.i.springboot.service.OrderService - 库存:1506
311765 [http-nio-8080-exec-60] INFO  p.i.springboot.service.OrderService - 库存:1506
311766 [http-nio-8080-exec-4] INFO  p.i.springboot.service.OrderService - 库存:1505
311767 [http-nio-8080-exec-81] INFO  p.i.springboot.service.OrderService - 库存:1505
311767 [http-nio-8080-exec-78] INFO  p.i.springboot.service.OrderService - 库存:1505
311767 [http-nio-8080-exec-94] INFO  p.i.springboot.service.OrderService - 库存:1505
311768 [http-nio-8080-exec-10] INFO  p.i.springboot.service.OrderService - 库存:1504
311768 [http-nio-8080-exec-86] INFO  p.i.springboot.service.OrderService - 库存:1504
311769 [http-nio-8080-exec-15] INFO  p.i.springboot.service.OrderService - 库存:1504
311772 [http-nio-8080-exec-19] INFO  p.i.springboot.service.OrderService - 库存:1504
311772 [http-nio-8080-exec-5] INFO  p.i.springboot.service.OrderService - 库存:1504
311773 [http-nio-8080-exec-70] INFO  p.i.springboot.service.OrderService - 库存:1504
311773 [http-nio-8080-exec-32] INFO  p.i.springboot.service.OrderService - 库存:1504
311776 [http-nio-8080-exec-61] INFO  p.i.springboot.service.OrderService - 库存:1504
311776 [http-nio-8080-exec-82] INFO  p.i.springboot.service.OrderService - 库存:1504
311778 [http-nio-8080-exec-8] INFO  p.i.springboot.service.OrderService - 库存:1504
311779 [http-nio-8080-exec-35] INFO  p.i.springboot.service.OrderService - 库存:1504
311784 [http-nio-8080-exec-36] INFO  p.i.springboot.service.OrderService - 库存:1504
311784 [http-nio-8080-exec-50] INFO  p.i.springboot.service.OrderService - 库存:1504
311786 [http-nio-8080-exec-32] INFO  p.i.springboot.service.OrderService - 库存:1503
311788 [http-nio-8080-exec-83] INFO  p.i.springboot.service.OrderService - 库存:1503
